Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Sahide, M.A.K., Fisher, M., Nasri, N., Dharmiasih, W., Verheijen, B., Maryudi, A.","56426498600; 56430331600; 57209645365; 56527265300; 57209910868; 48461414700","Anticipating a new conservation bureaucracy? Land and power in Indonesia's Essential Ecosystem Area policy",2020,"Land Use Policy",97,"", 104789,,,,1,10.1016/j.landusepol.2020.104789,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85086592087&partnerID=40&md5=cb5a2e6f3b09395d2bf59608b7b6d95a",Article,Final,,Scopus,2-s2.0-85086592087
"Ngo, L.V., Nguyen, T.N.Q., Tran, N.T., Paramita, W.","15078370300; 57209166339; 57216767422; 55701687100","It takes two to tango: The role of customer empathy and resources to improve the efficacy of frontline employee empathy",2020,"Journal of Retailing and Consumer Services",56,"", 102141,,,,,10.1016/j.jretconser.2020.102141,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084575555&partnerID=40&md5=aff2567403adf0e477893c872370268f",Article,Final,,Scopus,2-s2.0-85084575555
"Fahma, F., Lisdayana, N., Abidin, Z., Noviana, D., Sari, Y.W., Mukti, R.R., Yunus, M., Kusumaatmaja, A., Kadja, G.T.M.","36536701900; 56350756000; 57201126477; 6505909761; 55321217500; 12244105600; 8357376100; 55696458300; 56780209700","Nanocellulose-based fibres derived from palm oil by-products and their in vitro biocompatibility analysis",2020,"Journal of the Textile Institute",111,"9",,1354,1363,,3,10.1080/00405000.2019.1694353,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85075419624&partnerID=40&md5=6cd3b6d8ed97f0027dc2433be86751d0",Article,Final,,Scopus,2-s2.0-85075419624
"Kridaningsih, T.N., Sukmana, D.J., Mufidah, H., Diptyanusa, A., Kusumasari, R.A., Burdam, F.H., Kenangalem, E., Poespoprodjo, J.R., Fuad, A., Mahendradhata, Y., Supargiyono, S., Utzinger, J., Becker, S.L., Murhandarwati, E.E.H.","57217252218; 57217256293; 57217252457; 57205340891; 57191588889; 56734541200; 15727845100; 24081530500; 55222282200; 6602000972; 57217254837; 7003667858; 49460943100; 17135727300","Epidemiology and risk factors of Strongyloides stercoralis infection in Papua, Indonesia: a molecular diagnostic study",2020,"Acta Tropica",209,"", 105575,,,,,10.1016/j.actatropica.2020.105575,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85086929229&partnerID=40&md5=f07c69907815c7ed14c20e769b19c8cb",Article,Final,,Scopus,2-s2.0-85086929229
"Fathoni, I., Petitbois, J.G., Alarif, W.M., Abdel-Lateff, A., Al-Lihaibi, S.S., Yoshimura, E., Nogata, Y., Vairappan, C.S., Sholikhah, E.N., Okino, T.","57200797642; 56282461400; 36157750600; 6506005257; 6602802338; 7006009677; 35611248000; 6602542880; 15137539900; 7005917192","Bioactivities of Lyngbyabellins from Cyanobacteria of Moorea and Okeania Genera",2020,"Molecules",25,"17", 3986,,,,,10.3390/molecules25173986,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090318724&partnerID=40&md5=98a3ef859ec75ecdd382d5b207d7eb4e",Article,Final,Open Access,Scopus,2-s2.0-85090318724
"Muscarella, R., Emilio, T., Phillips, O.L., Lewis, S.L., Slik, F., Baker, W.J., Couvreur, T.L.P., Eiserhardt, W.L., Svenning, J.-C., Affum-Baffoe, K., Aiba, S.-I., de Almeida, E.C., de Almeida, S.S., de Oliveira, E.A., Álvarez-Dávila, E., Alves, L.F., Alvez-Valles, C.M., Carvalho, F.A., Guarin, F.A., Andrade, A., Aragão, L.E.O.C., Murakami, A.A., Arroyo, L., Ashton, P.S., Corredor, G.A.A., Baker, T.R., de Camargo, P.B., Barlow, J., Bastin, J.-F., Bengone, N.N., Berenguer, E., Berry, N., Blanc, L., Böhning-Gaese, K., Bonal, D., Bongers, F., Bradford, M., Brambach, F., Brearley, F.Q., Brewer, S.W., Camargo, J.L.C., Campbell, D.G., Castilho, C.V., Castro, W., Catchpole, D., Cerón Martínez, C.E., Chen, S., Chhang, P., Cho, P., Chutipong, W., Clark, C., Collins, M., Comiskey, J.A., Medina, M.N.C., Costa, F.R.C., Culmsee, H., David-Higuita, H., Davidar, P., del Aguila-Pasquel, J., Derroire, G., Di Fiore, A., Van Do, T., Doucet, J.-L., Dourdain, A., Drake, D.R., Ensslin, A., Erwin, T., Ewango, C.E.N., Ewers, R.M., Fauset, S., Feldpausch, T.R., Ferreira, J., Ferreira, L.V., Fischer, M., Franklin, J., Fredriksson, G.M., Gillespie, T.W., Gilpin, M., Gonmadje, C., Gunatilleke, A.U.N., Hakeem, K.R., Hall, J.S., Hamer, K.C., Harris, D.J., Harrison, R.D., Hector, A., Hemp, A., Herault, B., Pizango, C.G.H., Coronado, E.N.H., Hubau, W., Hussain, M.S., Ibrahim, F.-H., Imai, N., Joly, C.A., Joseph, S., Anitha, K., Kartawinata, K., Kassi, J., Killeen, T.J., Kitayama, K., Klitgård, B.B., Kooyman, R., Labrière, N., Larney, E., Laumonier, Y., Laurance, S.G., Laurance, W.F., Lawes, M.J., Levesley, A., Lisingo, J., Lovejoy, T., Lovett, J.C., Lu, X., Lykke, A.M., Magnusson, W.E., Mahayani, N.P.D., Malhi, Y., Mansor, A., Peña, J.L.M., Marimon-Junior, B.H., Marshall, A.R., Melgaco, K., Bautista, C.M., Mihindou, V., Millet, J., Milliken, W., Mohandass, D., Mendoza, A.L.M., Mugerwa, B., Nagamasu, H., Nagy, L., Seuaturien, N., Nascimento, M.T., Neill, D.A., Neto, L.M., Nilus, R., Vargas, M.P.N., Nurtjahya, E., de Araújo, R.N.O., Onrizal, O., Palacios, W.A., Palacios-Ramos, S., Parren, M., Paudel, E., Morandi, P.S., Pennington, R.T., Pickavance, G., Pipoly, J.J., Pitman, N.C.A., Poedjirahajoe, E., Poorter, L., Poulsen, J.R., Rama Chandra Prasad, P., Prieto, A., Puyravaud, J.-P., Qie, L., Quesada, C.A., Ramírez-Angulo, H., Razafimahaimodison, J.C., Reitsma, J.M., Requena-Rojas, E.J., Correa, Z.R., Rodriguez, C.R., Roopsind, A., Rovero, F., Rozak, A., Lleras, A.R., Rutishauser, E., Rutten, G., Punchi-Manage, R., Salomão, R.P., Van Sam, H., Sarker, S.K., Satdichanh, M., Schietti, J., Schmitt, C.B., Marimon, B.S., Senbeta, F., Nath Sharma, L., Sheil, D., Sierra, R., Silva-Espejo, J.E., Silveira, M., Sonké, B., Steininger, M.K., Steinmetz, R., Stévart, T., Sukumar, R., Sultana, A., Sunderland, T.C.H., Suresh, H.S., Tang, J., Tanner, E., ter Steege, H., Terborgh, J.W., Theilade, I., Timberlake, J., Torres-Lezama, A., Umunay, P., Uriarte, M., Gamarra, L.V., van de Bult, M., van der Hout, P., Martinez, R.V., Vieira, I.C.G., Vieira, S.A., Vilanova, E., Cayo, J.V., Wang, O., Webb, C.O., Webb, E.L., White, L., Whitfeld, T.J.S., Wich, S., Willcock, S., Wiser, S.K., Young, K.R., Zakaria, R., Zang, R., Zartman, C.E., Zo-Bi, I.C., Balslev, H.","22935566500; 36503793400; 7101775250; 56105640400; 6603660769; 7202916333; 6508039499; 37761392400; 55010991900; 6504457449; 7103129209; 57192996354; 16237971500; 57217499041; 26028556300; 7102466704; 57194248658; 16027795500; 8543652700; 7101975190; 57217827867; 56053877000; 6701602101; 7102485867; 57217829745; 7402604855; 7004416841; 7402197897; 55801125400; 57215523863; 54683478200; 24479775800; 8324697000; 7004273617; 17345184600; 7003843226; 7102411220; 49361162700; 6505997426; 7006721170; 7006614520; 24320167600; 41561051300; 56622561300; 55348762200; 57204430776; 34879541000; 36994441300; 57217831163; 14627214300; 34969023300; 37053758600; 6603179275; 57217835387; 7201976513; 8152544900; 57200500450; 57191171566; 55857622000; 6503900667; 55908978200; 35489346300; 57191898959; 56623084200; 7102454146; 36489603100; 6701802648; 12782085000; 56821362600; 37064348400; 57217618642; 18436550200; 57200105441; 24325048800; 35725372300; 11939572200; 7102070916; 55637833900; 41261257000; 57217833090; 36993011800; 7407376414; 35569772500; 7403920928; 7403906434; 35229762800; 6508380559; 8715617900; 57217827456; 57211242868; 36171558900; 7401576624; 57204896007; 14063204500; 57200377026; 16307140000; 22033855400; 6602494792; 17343888700; 35424201100; 7101983091; 57206842659; 11939277500; 56041689800; 6508295577; 57189021996; 57201304604; 7006236509; 7007146026; 23061053900; 56456721700; 6701871996; 57202040889; 57212740970; 35613092700; 7003951105; 57200915795; 7004035832; 29467655300; 57200505880; 36131955000; 7401645550; 57211107664; 57217833853; 57191275219; 56711667300; 7004148834; 16507601400; 57217826481; 57193330961; 6603419716; 19035625400; 14627813000; 7006803972; 7004890176; 57211535439; 11141657700; 18937678700; 35105782200; 57217828323; 30567573400; 6506915029; 57208081944; 6507880382; 55804628200; 55317625500; 57215376671; 56565468700; 57206336905; 6602093817; 57203590519; 56005805300; 7101865229; 23477892300; 26028594000; 6603449724; 8442845600; 7003929943; 14631004200; 56712006900; 7004204083; 57202641678; 57216890036; 56200648000; 56118003000; 57192300947; 55764822600; 57217826859; 36160653100; 53980328300; 55535953500; 8044557100; 57219637059; 57152186600; 57193782410; 35345799100; 56077041100; 55886290100; 7801420412; 57217828499; 7003336376; 7006854500; 16314082800; 7007111792; 6602680004; 7003709891; 7006696950; 57205398854; 7003874259; 7003742531; 19338072100; 57217825117; 57215668386; 7007134599; 6603780906; 7003885172; 6603110448; 7004527188; 6507354701; 56829608100; 7003676202; 55888539200; 14030928900; 6507238167; 8044558400; 7003391442; 7102450017; 23670563700; 57217823888; 35743916500; 56603687700; 7101663277; 7402225781; 57203131090; 6603053832; 36520213600; 7003308145; 7402601230; 57200265284; 7003715229; 6602811854; 57204691799; 6701731079","The global abundance of tree palms",2020,"Global Ecology and Biogeography",29,"9",,1495,1514,,3,10.1111/geb.13123,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85087650501&partnerID=40&md5=7d994322cdb4800825ffd94b9a843f40",Article,Final,Open Access,Scopus,2-s2.0-85087650501
"SIMANJUNTAK, N.A., HENDARTO, J., WAHYONO","57219052930; 57219053652; 55617659300","The effect of image preprocessing techniques on convolutional neural network-based human action recognition",2020,"Journal of Theoretical and Applied Information Technology",98,"16",,3364,3374,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091182533&partnerID=40&md5=91dea5d995a281d97269bd2846005002",Article,Final,,Scopus,2-s2.0-85091182533
"Nugraha, B., Anwar, S.L., Gutenbrunner, C., Korallus, C.","34168038300; 55251130100; 7006250778; 55331216200","Polymorphisms of brain-derived neurotrophic factor genes are associated with anxiety and body mass index in fibromyalgia syndrome patients",2020,"BMC Research Notes",13,"1", 402,,,,,10.1186/s13104-020-05226-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090170487&partnerID=40&md5=d3c1ace78f8128e69eaca03cdd3ff8f6",Article,Final,Open Access,Scopus,2-s2.0-85090170487
"Wuliandari, J.R., Hoffmann, A.A., Tantowijoyo, W., Endersby-Harshman, N.M.","56755368900; 7401903027; 36495896400; 56755330100","Frequency of kdr mutations in the voltage-sensitive sodium channel (V <inf>SSC</inf>) gene in Aedes aegypti from Yogyakarta and implications for Wolbachia-infected mosquito trials",2020,"Parasites and Vectors",13,"1", 429,,,,,10.1186/s13071-020-04304-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089968168&partnerID=40&md5=73596fadd451b320b871cdd05f166691",Article,Final,Open Access,Scopus,2-s2.0-85089968168
"Istyastono, E.P., Radifar, M., Yuniarti, N., Prasasty, V.D., Mungkasi, S.","26635157300; 55993012300; 36168887100; 56019989700; 36611902800","PyPLIF HIPPOS: A Molecular Interaction Fingerprinting Tool for Docking Results of AutoDock Vina and PLANTS",2020,"Journal of Chemical Information and Modeling",60,"8",,3697,3702,,,10.1021/acs.jcim.0c00305,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089816851&partnerID=40&md5=111cc3492cdd13088c975a3247d22f91",Article,Final,,Scopus,2-s2.0-85089816851
