Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Vaezghasemi, M., Öhman, A., Ng, N., Hakimi, M., Eriksson, M.","57195195568; 7006445503; 12801085700; 7006646779; 35086100000","Concerned and Conscious, but DefenselessThe intersection of gender and generation in child malnutrition in Indonesia: a qualitative grounded theory study: The intersection of gender and generation in child malnutrition in Indonesia: a qualitative grounded theory study",2020,"Global Health Action",13,"1", 1744214,,,,,10.1080/16549716.2020.1744214,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084328499&partnerID=40&md5=a671c0350fd25750033374cac8c31c08",Article,Final,Open Access,Scopus,2-s2.0-85084328499
"Fan, F.-Y., Wu, C.-J., Cho, Y.-C., Sugiatno, E., Chou, H.-H., Ou, K.-L., Lu, Y.-J., Huang, B.-H., Ruslin, M., Huang, M.-S.","57218123373; 57110971700; 57205142112; 14009496800; 7202063666; 55660541800; 57205327902; 57215034458; 56491046400; 35744890800","A promising biomimetic surface enhances cell proliferation and adhesion ability for promoting early-stage osseointegration",2020,"Journal of Alloys and Compounds",844,"", 155905,,,,,10.1016/j.jallcom.2020.155905,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85087957148&partnerID=40&md5=c1b056e63fd63ba0c161f1477c7f7788",Article,Final,,Scopus,2-s2.0-85087957148
"Diana, R., Ardhani, R., Kristanti, Y., Santosa, P.","57219854667; 57189623248; 57219852856; 57218388063","Dental pulp stem cells response on the nanotopography of scaffold to regenerate dentin-pulp complex tissue",2020,"Regenerative Therapy",15,"",,243,250,,,10.1016/j.reth.2020.09.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85095747213&partnerID=40&md5=2e6abcb28f4b3e6686745fb049ef106e",Review,Final,Open Access,Scopus,2-s2.0-85095747213
"Prima, H., Sofii, I., Fauzi, A.R., Dachlan, I., Gunadi","57219657912; 57218865838; 57203133889; 57210391374; 24337866800","The impact of different suturing techniques for abdominal fascia closure on the Interleukin-6 expressions in Rattus norvegicus",2020,"BMC Research Notes",13,"1", 502,,,,,10.1186/s13104-020-05349-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85094904897&partnerID=40&md5=ae51f55b67b6411a5c9b1678016e052f",Article,Final,Open Access,Scopus,2-s2.0-85094904897
"Widad, S., Nurdiati, D.S., Ayuandari, S., Hamurajib, K.C., Rahmana, M.D.R., Alma, N.A., Dewanto, A.","57219671426; 6602273936; 56231262400; 57218604217; 57219667867; 57218603952; 57190580042","Primordial follicle survival of goat ovarian tissue after vitrification and transplantation on chorioallanthoic membrane",2020,"Middle East Fertility Society Journal",25,"1", 34,,,,,10.1186/s43043-020-00044-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85094672831&partnerID=40&md5=d9c7b705a34a36535f3be2cc2a1a2e41",Article,Final,Open Access,Scopus,2-s2.0-85094672831
"Sofii, I., Dipoyono, W., Prima, H., Sari, Y.M., Fauzi, A.R., Gunadi","57218865838; 57219660211; 57219657912; 57219650399; 57203133889; 24337866800","The effect of different suturing materials for abdominal fascia wound closure on the collagen I/III expression ratio in rats",2020,"Annals of Medicine and Surgery",60,"",,106,109,,,10.1016/j.amsu.2020.10.033,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85094560477&partnerID=40&md5=6c4f8b20340c445ae51deea1ee464fc6",Article,Final,Open Access,Scopus,2-s2.0-85094560477
"Subronto, Y.W., Kusmayanti, N.A., Abdalla, A.S., Sattwika, P.D.","6506502796; 57204189553; 57219537365; 56491237800","Nevirapine and tuberculosis predict first-line treatment failure in HIV patients in Indonesia: Case-control study",2020,"Annals of Medicine and Surgery",60,"",,56,60,,,10.1016/j.amsu.2020.10.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85093650611&partnerID=40&md5=88cca3313b10820c5929867be4974c0c",Article,Final,Open Access,Scopus,2-s2.0-85093650611
"Helmi, Fakhrudin, N., Nurrochmad, A., Sudarmanto, A., Ikawati, Z.","57219172914; 36007191300; 9243439100; 57219323568; 7801693557","Caesalpinia sappan L. Wood is a potential source of natural phosphodiesterase-1 inhibitors",2020,"Pharmacognosy Journal",12,"6",,1206,1217,,,10.5530/PJ.2020.12.169,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092233312&partnerID=40&md5=3481f5c5c1699148e2a9a8e32e680d4f",Article,Final,Open Access,Scopus,2-s2.0-85092233312
"Kamil, R.Z., Yanti, R., Murdiati, A., Juffrie, M., Rahayu, E.S.","57208054197; 57190938696; 57188932900; 6603321832; 6507167383","Microencapsulation of indigenous probiotic lactobacillus plantarum dad-13 by spray and freeze-drying: Strain-dependent effect and its antibacterial property",2020,"Food Research",4,"6",,2181,2189,,,10.26656/fr.2017.4(6).280,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092074313&partnerID=40&md5=ae9d177f4dd292a28086ca4223b98c2f",Article,Final,Open Access,Scopus,2-s2.0-85092074313
"Sari, R., Larasati, G.S., Kuncorowati, N.G., Syaify, A.","57219253855; 57219258493; 57219258439; 57196003946","Platelet-rich fibrin (PRF) membranes accelerate open wound healing better than amniotic membranes: A histological study on the proliferation phase",2020,"Wound Medicine",31,"", 100190,,,,,10.1016/j.wndm.2020.100190,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091934212&partnerID=40&md5=0463167d6b7c9e757b3d9ca7416e49a3",Article,Final,,Scopus,2-s2.0-85091934212
"Noviyanto, A., Sartohadi, J., Purwanto, B.H.","57219092041; 24766831900; 6507171824","The distribution of soil morphological characteristics for landslide-impacted Sumbing Volcano, Central Java - Indonesia",2020,"Geoenvironmental Disasters",7,"1", 25,,,,,10.1186/s40677-020-00158-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091203600&partnerID=40&md5=3ca782769416bae8d7b999f03ab89f08",Article,Final,Open Access,Scopus,2-s2.0-85091203600
"Hermawan, A., Putri, H., Ikawati, M.","47161155100; 55631438500; 55189878500","Bioinformatic analysis reveals the molecular targets of tangeretin in overcoming the resistance of breast cancer to tamoxifen",2020,"Gene Reports",21,"", 100884,,,,,10.1016/j.genrep.2020.100884,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090909694&partnerID=40&md5=a10644581026e4eea30130129f26f3c9",Article,Final,,Scopus,2-s2.0-85090909694
"Satmalawati, E.M., Pranoto, Y., Marseno, D.W., Marsono, Y.","57216289182; 8906543900; 8880635900; 6506442611","Oxidation of cassava starch at different dissolved ozone concentration: Effect on functional and structural properties",2020,"Food Research",4,"6",,1896,1904,,,10.26656/fr.2017.4(6).209,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090628376&partnerID=40&md5=bbba47763b41c934cbc5e34f3aa28ac5",Article,Final,,Scopus,2-s2.0-85090628376
"Riyanto, I.A., Widyastuti, M., Cahyadi, A., Agniy, R.F., Adji, T.N.","57205442854; 57195913207; 55979018700; 57202306477; 54987826800","Groundwater Management Based on Vulnerability to Contamination in the Tropical Karst Region of Guntur Spring, Gunungsewu Karst, Java Island, Indonesia",2020,"Environmental Processes",7,"4",,1277,1302,,,10.1007/s40710-020-00460-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090475539&partnerID=40&md5=df346efff6ab65b27f520ff2564585b2",Article,Final,,Scopus,2-s2.0-85090475539
"Poetra, R.P., Adji, T.N., Santosa, L.W., Khakhim, N.","57217302005; 54987826800; 57216289363; 57188870923","Hydrogeochemical Conditions in Groundwater Systems with Various Geomorphological Units in Kulonprogo Regency, Java Island, Indonesia",2020,"Aquatic Geochemistry",26,"4",,421,454,,,10.1007/s10498-020-09384-w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85087046019&partnerID=40&md5=adc910aeffe0c03868a7c52a27741110",Article,Final,,Scopus,2-s2.0-85087046019
"Hermawan, A., Putri, H.","47161155100; 55631438500","Integrative bioinformatics analysis reveals miR-494 and its target genes as predictive biomarkers of trastuzumab-resistant breast cancer",2020,"Journal of the Egyptian National Cancer Institute",32,"1", 16,,,,1,10.1186/s43046-020-00028-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084753182&partnerID=40&md5=641a8b8671c612432096697ce7638e32",Article,Final,Open Access,Scopus,2-s2.0-85084753182
"Sulistiyono, A., Kurniasih, K., Untari, T.","57215089078; 57200381352; 56514122200","Detection of nervous necrosis virus of grouper fish in Lombok island, Indonesia based on serological and molecular studies",2020,"Egyptian Journal of Aquatic Biology and Fisheries",24,"1",,329,335,,,10.21608/EJABF.2020.70593,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85079885190&partnerID=40&md5=ff577f88e03bea46ed8476dcb14a21f2",Article,Final,Open Access,Scopus,2-s2.0-85079885190
"Anwar, S.L., Prabowo, D., Avanti, W.S., Dwianingsih, E.K., Harahap, W.A., Aryandono, T.","55251130100; 57219778393; 57205691606; 36169276100; 57189369740; 23495038400","Clinical characteristics and the associated risk factors of the development of bilateral breast cancers: A case-control study",2020,"Annals of Medicine and Surgery",60,"",,285,292,,,10.1016/j.amsu.2020.10.064,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85095456012&partnerID=40&md5=45f8e4508525cc0c082c2ff25280abff",Article,Final,Open Access,Scopus,2-s2.0-85095456012
"Wulandari, F., Ikawati, M., Meiyanto, E., Kirihata, M., Hermawan, A.","57216620223; 55189878500; 36114583200; 7004518206; 47161155100","Bioinformatic analysis of CCA-1.1, a novel curcumin analog, uncovers furthermost noticeable target genes in colon cancer",2020,"Gene Reports",21,"", 100917,,,,,10.1016/j.genrep.2020.100917,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85094596290&partnerID=40&md5=94d5fd96afecdc7f7372617b18d420e4",Article,Final,,Scopus,2-s2.0-85094596290
"Rhatomy, S., Setyawan, R.","57204509883; 57206249736","Anterior cruciate ligament studies in south-east asia over the past 10 years: A systematic review",2020,"Annals of Medicine and Surgery",60,"",,61,65,,,10.1016/j.amsu.2020.10.014,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85093657377&partnerID=40&md5=b4d8e84cda86780ae6b7097eeadc6721",Review,Final,Open Access,Scopus,2-s2.0-85093657377
"Saputro, A.D., Van de Walle, D., Dewettinck, K.","57189997780; 23471350000; 7003773850","Physicochemical properties of coarse palm sap sugars as natural alternative sweetener",2020,"Food Bioscience",38,"", 100780,,,,,10.1016/j.fbio.2020.100780,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092419212&partnerID=40&md5=bdc7478d540fb59523cd5759e7478977",Article,Final,,Scopus,2-s2.0-85092419212
"Lestari, A.D., Rohman, A., Martono, S.","57209237300; 32668020600; 55790945300","Analytical method validation of reversed phase HPLC for quantitative analysis of tartrazine and auramine o in powder drinks",2020,"Food Research",4,"6",,2037,2041,,,10.26656/fr.2017.4(6).120,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091330798&partnerID=40&md5=3117da1c6bd11d17dcc46f7d887305fa",Article,Final,Open Access,Scopus,2-s2.0-85091330798
"Ningrum, A., Hapsari, M.W., Perdani, A.W., Sutrisno, E., Pravitri, K.G., Ramadhani, N.F., Munawaroh, H.S.H.","56217468000; 57205081488; 57218794142; 57218791692; 57218792254; 57218793106; 56194965400","Characteristic of yellow tuna skin (Thunnus albacares) gelatin enriched with cinnamon (cinnamomum zeylanicum) and roselle (hibiscus sabdariffa) powder",2020,"Food Research",4,"6",,2082,2088,,,10.26656/fr.2017.4(6).225,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090293900&partnerID=40&md5=7ecd25bca0805f22ac5c32140c3bf5e2",Article,Final,Open Access,Scopus,2-s2.0-85090293900
"Giarno, Hadi, M.P., Suprayogi, S., Herumurti, S.","57188976838; 57203835393; 55604892600; 57209748268","Impact of rainfall intensity, monsoon and MJO to rainfall merging in the Indonesian maritime continent",2020,"Journal of Earth System Science",129,"1", 164,,,,,10.1007/s12040-020-01427-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85088395278&partnerID=40&md5=c5001928158a90929ba02289ada4c724",Article,Final,,Scopus,2-s2.0-85088395278
"Yustinadiar, N., Manurung, R., Suantika, G.","57218198214; 57218204163; 6506344370","Enhanced biomass productivity of microalgae Nannochloropsis sp. in an airlift photobioreactor using low-frequency flashing light with blue LED",2020,"Bioresources and Bioprocessing",7,"1", 43,,,,,10.1186/s40643-020-00331-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85088278369&partnerID=40&md5=c6a725cbe843223cc1bcce7e65ed3639",Article,Final,Open Access,Scopus,2-s2.0-85088278369
"Singh, A., Prabowo, F.F., Benjakul, S., Pranoto, Y., Chantakun, K.","55757781722; 57217594064; 35588706600; 8906543900; 57203002307","Combined effect of microbial transglutaminase and ethanolic coconut husk extract on the gel properties and in-vitro digestibility of spotted golden goatfish (Parupeneus heptacanthus) surimi gel",2020,"Food Hydrocolloids",109,"", 106107,,,,,10.1016/j.foodhyd.2020.106107,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85087420091&partnerID=40&md5=3c407a81f1616519aedb1bf45ededa7a",Article,Final,,Scopus,2-s2.0-85087420091
"Leupen, B.T.C., Gomez, L., Shepherd, C.R., Nekaris, K.A.-I., Imron, M.A., Nijman, V.","57209459387; 57200283186; 23973674500; 57219385936; 56971302500; 6603777959","Thirty years of trade data suggests population declines in a once common songbird in Indonesia",2020,"European Journal of Wildlife Research",66,"6", 98,,,,,10.1007/s10344-020-01436-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85095569557&partnerID=40&md5=7897413b4a878a614a2db5a3bbc40ec3",Article,Final,,Scopus,2-s2.0-85095569557
"Zulfiana, D., Karimah, A., Anita, S.H., Masruchin, N., Wijaya, K., Suryanegara, L., Fatriasari, W., Fudholi, A.","55759753600; 57218268536; 57192231336; 56586227800; 6701615215; 26326619700; 56690604600; 57195432490","Antimicrobial Imperata cylindrica paper coated with anionic nanocellulose crosslinked with cationic ions",2020,"International Journal of Biological Macromolecules",164,"",,892,901,,,10.1016/j.ijbiomac.2020.07.102,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85088536962&partnerID=40&md5=5aecf2ab5cc09f4662bc45f509fc8cff",Article,Final,,Scopus,2-s2.0-85088536962
"Ardhani, R., Ana, I.D., Tabata, Y.","57189623248; 6507333159; 57213567861","Gelatin hydrogel membrane containing carbonate hydroxyapatite for nerve regeneration scaffold",2020,"Journal of Biomedical Materials Research - Part A",108,"12",,2491,2503,,,10.1002/jbm.a.37000,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85086514608&partnerID=40&md5=7016e48cb7ecfa76f9c577cc3bcfccd6",Article,Final,,Scopus,2-s2.0-85086514608
"Sukirno, S., Tufail, M., Rasool, K.G., Husain, M., Aldawood, A.S.","57213092614; 57209399029; 36012009900; 55979629300; 42261135800","Diversity of red palm weevil, Rhynchophorus ferrugineus Oliv. (Coleoptera: Curculionidae) in the Kingdom of Saudi Arabia: studies on the phenotypic and DNA barcodes",2020,"International Journal of Tropical Insect Science",40,"4",,899,908,,,10.1007/s42690-020-00148-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084729546&partnerID=40&md5=9cb361a67c7769f4ff0ed1e6b6650763",Article,Final,,Scopus,2-s2.0-85084729546
"Amanah, H.Z., Joshi, R., Masithoh, R.E., Choung, M.-G., Kim, K.-H., Kim, G., Cho, B.-K.","57216749548; 57211273561; 57219713072; 16063201500; 57202965738; 57219222490; 7401747466","Nondestructive measurement of anthocyanin in intact soybean seed using Fourier Transform Near-Infrared (FT-NIR) and Fourier Transform Infrared (FT-IR) spectroscopy",2020,"Infrared Physics and Technology",111,"", 103477,,,,,10.1016/j.infrared.2020.103477,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091767444&partnerID=40&md5=cb07176619442bd1df7bb211fe8bc3a6",Article,Final,,Scopus,2-s2.0-85091767444
"Kotani, T., Setiawan, J., Konno, T., Ihara, N., Okamoto, S., Saito, Y., Murata, Y., Noda, T., Matozaki, T.","35603775200; 57189518741; 55461812200; 57218528047; 57218526837; 55466433000; 35604133200; 57189249481; 7006232483","Regulation of colonic epithelial cell homeostasis by mTORC1",2020,"Scientific Reports",10,"1", 13810,,,,,10.1038/s41598-020-70655-1,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089418416&partnerID=40&md5=a65e309ea876ba531049b21b3cd5ca2a",Article,Final,Open Access,Scopus,2-s2.0-85089418416
"Rohman, A., Rawar, E.A., Sudevi, S., Nurrulhidayah, A.F., Windarsih, A.","32668020600; 57218499189; 57218499995; 56716257500; 57006764700","The use of chemometrics in combination with molecular spectroscopic and chromatographic methods for authentication of curcuma species: A review",2020,"Food Research",4,"6",,1850,1858,,,10.26656/fr.2017.4(6).345,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089352100&partnerID=40&md5=3b56f09833337eba7c9a238a8cf563b0",Short Survey,Final,Open Access,Scopus,2-s2.0-85089352100
"Bakar, A., Ningrum, V., Lee, A., Hsu, W.-K., Amalia, R., Dewanto, I., Lee, S.-C.","57213415532; 57213415656; 57218478643; 57208818260; 48461008800; 57216932348; 35484328900","Structural equation modelling of the complex relationship between toothache and its associated factors among Indonesian children",2020,"Scientific Reports",10,"1", 13567,,,,,10.1038/s41598-020-70104-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089279452&partnerID=40&md5=121b83da909181827306a785824418ce",Article,Final,Open Access,Scopus,2-s2.0-85089279452
"Karuniawati, H., Hassali, M.A.A., Suryawati, S., Ismail, W.I., Taufik, T., Wiladatika, A.","57195136247; 9741079900; 6603201693; 57193530481; 57208893556; 57216727797","Public practices towards antibiotics: A qualitative study",2020,"Clinical Epidemiology and Global Health",8,"4",,1277,1281,,,10.1016/j.cegh.2020.04.027,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85084384664&partnerID=40&md5=d7ab545a69514fc460ad7cd840c3ae22",Article,Final,,Scopus,2-s2.0-85084384664
"Rhatomy, S., Setyawan, R., Putra, A., Utomo, D.N.","57204509883; 57206249736; 57219838855; 57193162330","Anterior cruciate ligament publications in asia in 10 years: A systematic review",2020,"Asian Journal of Sports Medicine",11,"4", e105255,1,6,,,10.5812/asjsm.105255,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85095715992&partnerID=40&md5=c840c442918ceb835f57cdf7f83bbdfb",Review,Final,Open Access,Scopus,2-s2.0-85095715992
"Yuana, S.L., Sengers, F., Boon, W., Hajer, M.A., Raven, R.","57205260496; 36053735200; 22733384300; 6603469883; 7006534473","A dramaturgy of critical moments in transition: Understanding the dynamics of conflict in socio-political change",2020,"Environmental Innovation and Societal Transitions",37,"",,156,170,,,10.1016/j.eist.2020.08.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090712553&partnerID=40&md5=e54fe8d5fe06d4fd58378e1b09bac337",Article,Final,Open Access,Scopus,2-s2.0-85090712553
"Kartini, D., Taher, A., Panigoro, S.S., Setiabudy, R., Jusman, S.W., Haryana, S.M., Abdullah, M., Rustamadji, P., Purwanto, D.J., Sutandyo, N., Suroyo, I., Siregar, B.H., Maruli, H., Sungkar, S.","57215490523; 7005269743; 56790104300; 6602316235; 36518792100; 6507708439; 7103393434; 55321572200; 55397802000; 26028099200; 57204106272; 57215489796; 57215495589; 57016857300","Effect of melatonin supplementation in combination with neoadjuvant chemotherapy to miR-210 and CD44 expression and clinical response improvement in locally advanced oral squamous cell carcinoma: a randomized controlled trial",2020,"Journal of the Egyptian National Cancer Institute",32,"1", 12,,,,,10.1186/s43046-020-0021-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85080977365&partnerID=40&md5=ea15d350f51408cbd7950b1b4a9c91e8",Article,Final,Open Access,Scopus,2-s2.0-85080977365
"Trisunaryanti, W., Larasati, S., Bahri, S., Ni'mah, Y.L., Efiyanti, L., Amri, K., Nuryanto, R., Sumbogo, S.D.","6506869316; 57218286390; 36650394600; 57200583624; 57218264848; 57219332167; 57189070167; 57217872866","Performance comparison of Ni-Fe loaded on NH<inf>2</inf>-functionalized mesoporous silica and beach sand in the hydrotreatment of waste palm cooking oil",2020,"Journal of Environmental Chemical Engineering",8,"6", 104477,,,,,10.1016/j.jece.2020.104477,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092224390&partnerID=40&md5=da306013b6ab56be36db9f4e86d9bd56",Article,Final,,Scopus,2-s2.0-85092224390
"Siswanto, E., Horii, T., Iskandar, I., Gaol, J.L., Setiawan, R.Y., Susanto, R.D.","8668728200; 23995358900; 8637688700; 56958634200; 35768507600; 55664987200","Impacts of climate changes on the phytoplankton biomass of the Indonesian Maritime Continent",2020,"Journal of Marine Systems",212,"", 103451,,,,,10.1016/j.jmarsys.2020.103451,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091580235&partnerID=40&md5=86d8143113c421b28e0152c47ad536d1",Article,Final,,Scopus,2-s2.0-85091580235
"Rahman, M.H., Kudo, K., Yamagishi, Y., Nakamura, Y., Nakaba, S., Begum, S., Nugroho, W.D., Arakawa, I., Kitin, P., Funada, R.","57188837242; 56135783800; 47661935500; 57218678209; 15045356500; 7101852563; 54789995600; 57188926575; 6602236780; 7004161410","Winter-spring temperature pattern is closely related to the onset of cambial reactivation in stems of the evergreen conifer Chamaecyparis pisifera",2020,"Scientific Reports",10,"1", 14341,,,,,10.1038/s41598-020-70356-9,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090012274&partnerID=40&md5=d3f249da0e9b6a14db2d32141eb0d9de",Article,Final,Open Access,Scopus,2-s2.0-85090012274
"Hartati, Trisunaryanti, W., Mukti, R.R., Kartika, I.A., Firda, P.B.D., Sumbogo, S.D., Prasetyoko, D., Bahruji, H.","54894424000; 6506869316; 12244105600; 57218158170; 57216522560; 57217872866; 6507890461; 34867912000","Highly selective hierarchical ZSM-5 from kaolin for catalytic cracking of Calophyllum inophyllum oil to biofuel",2020,"Journal of the Energy Institute",93,"6",,2238,2246,,1,10.1016/j.joei.2020.06.006,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85087765358&partnerID=40&md5=2368ec1c4bf71c5a8a3ce18746e399f7",Article,Final,,Scopus,2-s2.0-85087765358
"van Empel, G., Mulyanto, J., Wiratama, B.S.","57219697699; 57198890721; 57204581553","Undertesting of COVID-19 in Indonesia: what has gone wrong?",2020,"Journal of global health",10,"2",,020306,,,,10.7189/jogh.10.020306,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85094833622&partnerID=40&md5=1a6249823f7965b25605d7b537b88b81",Review,Final,Open Access,Scopus,2-s2.0-85094833622
"Kealy, S., O'Connor, S., Mahirta, Sari, D.M., Shipton, C., Langley, M.C., Boulanger, C., Kaharudin, H.A.F., Patridina, E.P.B.G.G., Algifary, M.A., Irfan, A., Beaumont, P., Jankowski, N., Hawkins, S., Louys, J.","57016654100; 8707659200; 57191912396; 57219271100; 24778858900; 26039252600; 57194858153; 57202044744; 57219269817; 57219269985; 57219271464; 57219269934; 37072393800; 55759036500; 15136337000","Forty-thousand years of maritime subsistence near a changing shoreline on Alor Island (Indonesia)",2020,"Quaternary Science Reviews",249,"", 106599,,,,,10.1016/j.quascirev.2020.106599,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85091991792&partnerID=40&md5=126f696cde9bdb31c282cfc2eac840a4",Article,Final,Open Access,Scopus,2-s2.0-85091991792
"van Doeveren, T.E.M., van Veen, R.L.P., van den Boom, F., Tan, I.B., Schreuder, W.H., Karakullukçu, M.B.","57034194800; 6701551680; 55844812500; 7101607261; 15835384000; 36662511800","Intra-cavity Photodynamic Therapy for malignant tumors of the paranasal sinuses: An in vivo light dosimetry study",2020,"Photodiagnosis and Photodynamic Therapy",32,"", 101972,,,,,10.1016/j.pdpdt.2020.101972,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090926166&partnerID=40&md5=b39db9d498d47466b0f5219df41c007e",Article,Final,,Scopus,2-s2.0-85090926166
"Roberts, P., Louys, J., Zech, J., Shipton, C., Kealy, S., Carro, S.S., Hawkins, S., Boulanger, C., Marzo, S., Fiedler, B., Boivin, N., Mahirta, Aplin, K., OʼConnor, S.","55066401000; 15136337000; 57200652971; 24778858900; 57016654100; 57208644396; 55759036500; 57194858153; 57216591963; 57216590431; 16038509400; 57191912396; 6701380029; 57216585283","Isotopic evidence for initial coastal colonization and subsequent diversification in the human occupation of Wallacea",2020,"Nature Communications",11,"1", 2068,,,,4,10.1038/s41467-020-15969-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85083986682&partnerID=40&md5=4868b53c6c62334341818ba5a23b3277",Article,Final,Open Access,Scopus,2-s2.0-85083986682
"Shaari, H., Mohd Nasir, Q., Pan, H.-J., Mohamed, C.A.R., Yusoff, A.H., Wan Mohd Khalik, W.M.A., Naim, E., Setiawan, R.Y., Anthony, E.J.","55757130100; 57218792829; 55579633300; 6603993675; 56707074900; 55792381800; 57212764068; 35768507600; 36184444700","Sedimentation and sediment geochemistry in a tropical mangrove channel meander, Sungai Kerteh, Peninsular Malaysia",2020,"Progress in Earth and Planetary Science",7,"1", 46,,,,,10.1186/s40645-020-00362-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090291612&partnerID=40&md5=04ced95331a14073a58c03e0d8e98fe6",Article,Final,Open Access,Scopus,2-s2.0-85090291612
"Arjasakusuma, S., Mutaqin, B.W., Sekaranom, A.B., Marfai, M.A.","56940811200; 55586337500; 55979043800; 22951320200","Sensitivity of remote sensing-based vegetation proxies to climate and sea surface temperature variabilities in Australia and parts of Southeast Asia",2020,"International Journal of Remote Sensing",41,"22",,8631,8653,,,10.1080/01431161.2020.1782509,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85090337581&partnerID=40&md5=527a5d7723795a2ccac215d1c734cc57",Article,Final,,Scopus,2-s2.0-85090337581
"Mahayani, N.P.D., Slik, F.J.W., Savini, T., Webb, E.L., Gale, G.A.","57200915795; 6603660769; 23095626200; 7101663277; 13204348700","Rapid recovery of phylogenetic diversity, community structure and composition of Bornean tropical forest a decade after logging and post-logging silvicultural interventions",2020,"Forest Ecology and Management",476,"", 118467,,,,,10.1016/j.foreco.2020.118467,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85089105207&partnerID=40&md5=055cbeadeff952ea92cf2078da7b3944",Article,Final,,Scopus,2-s2.0-85089105207
"Nuryono, N., Miswanda, D., Sakti, S.C.W., Rusdiarso, B., Krisbiantoro, P.A., Utami, N., Otomo, R., Kamiya, Y.","57217262239; 57218343035; 55571920100; 55681520000; 57199650345; 57218342304; 54385643100; 7202745328","Chitosan-functionalized natural magnetic particle@silica modified with (3-chloropropyl)trimethoxysilane as a highly stable magnetic adsorbent for gold(III) ion",2020,"Materials Chemistry and Physics",255,"", 123507,,,,,10.1016/j.matchemphys.2020.123507,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85088867681&partnerID=40&md5=151a21350a1c62da0964b0579c9cb1a9",Article,Final,,Scopus,2-s2.0-85088867681
"Khine, W.W.T., Rahayu, E.S., See, T.Y., Kuah, S., Salminen, S., Nakayama, J., Lee, Y.-K.","57205675588; 6507167383; 57217083109; 57217079483; 7102912002; 7201378378; 36066577100","Indonesian children fecal microbiome from birth until weaning was different from microbiomes of their mothers",2020,"Gut Microbes",12,"1", 1761240,,,,,10.1080/19490976.2020.1761240,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85086116029&partnerID=40&md5=b07bf37defead873f1f727247eee00e8",Article,Final,Open Access,Scopus,2-s2.0-85086116029
